phenotype;individu;Valve;Hex;h;s;v
R;R1;vd;#B1A7A2;0.05555556;0.08474576;0.69411765
R;R1;vg;#B0ADA2;0.13095238;0.07954545;0.69019608
R;R2;vd;#A9A09D;0.04166667;0.07100592;0.66274510
R;R2;vg;#AEA7A4;0.05000000;0.05747126;0.68235294
R;R3;vd;#9B9393;0.0000000;0.0516129;0.6078431
R;R3;vg;#9B9694;0.04761905;0.04516129;0.60784314
R;R4;vd;#98928B;0.08974359;0.08552632;0.59607843
R;R4;vg;#A6A199;0.10256410;0.07831325;0.65098039
R;R5;vd;#98958B;0.12820513;0.08552632;0.59607843
R;R5;vg;#949180;0.1416667;0.1351351;0.5803922
J;J1;vd;#AAB19B;0.2196970;0.1242938;0.6941176
J;J1;vg;#B7BDA6;0.2101449;0.1216931;0.7411765
J;J2;vd;#AFB3A3;0.20833333;0.08938547;0.70196078
J;J2;vg;#B3B9A6;0.2192982;0.1027027;0.7254902
J;J3;vd;#B0B7AA;0.25641026;0.07103825;0.71764706
J;J3;vg;#B4BAAC;0.23809524;0.07526882;0.72941176
J;J4;vd;#A5A68F;0.1739130;0.1385542;0.6509804
J;J4;vg;#ADB197;0.1923077;0.1468927;0.6941176
J;J5;vd;#BCC1AD;0.2083333;0.1036269;0.7568627
J;J5;vg;#C1C6B2;0.2083333;0.1010101;0.7764706
V;V1;vd;#778686;0.5000000;0.1119403;0.5254902
V;V1;vg;#798689;0.5312500;0.1167883;0.5372549
V;V2;vd;#8D9D99;0.4583333;0.1019108;0.6156863
V;V2;vg;#879594;0.48809524;0.09395973;0.58431373
V;V3;vd;#7E898B;0.52564103;0.09352518;0.54509804
V;V3;vg;#788689;0.5294118;0.1240876;0.5372549
V;V4;vd;#819394;0.5087719;0.1283784;0.5803922
V;V4;vg;#829394;0.5092593;0.1216216;0.5803922
V;V5;vd;#7D8E8B;0.4705882;0.1197183;0.5568627
V;V5;vg;#859397;0.5370370;0.1192053;0.5921569
